Grapheme,Phoneme,Type,Exception
a,a,Vowel,0
ai,aj,Vowel,0
am,ãw,Vowel,1
am,ã,Vowel,0
an,ã,Vowel,0
au,aw,Vowel,0
b,b,Consonant,0
c,k,Consonant,0
c,s,Consonant,0
ch,C,Consonant,0
d,d,Consonant,0
d,dZ,Consonant,0
e,e,Vowel,0
e,i,Vowel,0
e,E,Vowel,1
e,j,Vowel,1
ei,ej,Vowel,0
ei,e,Vowel,1
em,ē,Vowel,0
en,ē,Vowel,0
eu,ew,Vowel,0
f,f,Consonant,0
g,g,Consonant,0
g,Z,Consonant,0
gu,gw,Consonant,1
gu,g,Consonant,0
h,#,Silent,0
i,j,Vowel,1
i,i,Vowel,0
im,ī,Vowel,0
in,ī,Vowel,0
iu,iw,Vowel,0
j,Z,Consonant,0
k,k,Consonant,0
l,l,Consonant,0
l,w,Consonant,1
lh,Y,Consonant,0
m,m,Consonant,0
n,n,Consonant,0
nh,N,Consonant,0
o,o,Vowel,0
o,u,Vowel,0
o,O,Vowel,1
oi,oj,Vowel,0
om,õ,Vowel,0
on,õ,Vowel,0
ou,o,Vowel,1
ou,ow,Vowel,0
p,p,Consonant,0
qu,k,Consonant,0
qu,kw,Consonant,1
r,h,Consonant,0
r,r,Consonant,0
rr,h,Consonant,0
s,s,Consonant,0
s,z,Consonant,0
ss,s,Consonant,1
t,t,Consonant,0
t,tC,Consonant,0
u,u,Vowel,0
u,w,Vowel,1
um,ū,Vowel,0
un,ū,Vowel,0
v,v,Consonant,0
x,C,Consonant,0
x,z,Consonant,1
x,s,Consonant,1
x,ks,Consonant,1
z,s,Consonant,1
z,z,Consonant,0
à,a,Vowel,0
á,a,Vowel,0
âm,ã,Vowel,0
ân,ã,Vowel,0
ã,ã,Vowel,0
ãe,ãj,Vowel,0
ão,ãw,Vowel,0
ç,s,Consonant,0
é,E,Vowel,1
é,e,Vowel,0
ém,ē,Vowel,0
ê,e,Vowel,0
ên,ē,Vowel,0
í,i,Vowel,0
ín,ī,Vowel,0
ó,O,Vowel,1
ó,o,Vowel,0
ô,o,Vowel,0
ú,u,Vowel,0
