ORTHO,GPMATCH,LESSON,READING,WRITING
a,(a-a),1,1,0
á,(á-a),1,1,0
e,(e-e),2,1,0
é,(é-E),2,1,0
ma,(m-m.a-a),3,1,0
me,(m-m.e-e),3,1,0
má,(m-m.á-a),3,1,0
O,(o-u),11,1,0
i,(i-i),4,1,0
í,(í-i),4,1,0
mi,(m-m.i-i),4,1,0
mo,(m-m.o-u),11,1,0
io,(i-i.o-u),11,1,0
ó,(ó-O),5,1,0
I,(i-i),4,1,0
fa,(f-f.a-a),6,1,0
fá,(f-f.á-a),6,1,0
fe,(f-f.e-i),12,1,0
fi,(f-f.i-i),6,1,0
fo,(f-f.o-u),11,1,0
if,(i-i.f-f),6,1,0
ef,(e-e.f-f),6,1,0
u,(u-u),7,1,0
fu,(f-f.u-u),7,1,0
mu,(m-m.u-u),7,1,0
eu,(e-e.u-u),7,1,0
da,(d-d.a-a),8,1,0
ed,(e-e.d-d),8,1,0
do,(d-d.o-u),11,1,0
od,(o-u.d-d),11,1,0
dá,(d-d.á-a),8,1,0
dé,(d-d.é-E),8,1,0
ad,(a-a.d-d),8,1,0
du,(d-d.u-u),8,1,0
la,(l-l.a-a),9,1,0
le,(l-l.e-i),12,1,0
li,(l-l.i-i),9,1,0
lo,(l-l.o-u),11,1,0
lu,(l-l.u-u),9,1,0
al,(a-a.l-l),9,1,0
el,(e-e.l-l),9,1,0
ol,(o-u.l-l),11,1,0
ul,(u-u.l-l),9,1,0
il,(i-i.l-l),9,1,0
ca,(c-k.a-a),10,1,0
co,(c-k.o-O),10,1,0
cu,(c-k.u-u),10,1,0
cá,(c-k.á-a),10,1,0
na,(n-n.a-a),13,1,0
ne,(n-n.e-i),13,1,0
ni,(n-n.i-i),13,1,0
nu,(n-n.u-u),13,1,0
no,(n-n.o-u),13,1,0
sa,(s-s.a-a),14,1,0
se,(s-s.e-e),14,1,0
si,(s-s.i-i),14,1,0
su,(s-s.u-u),14,1,0
as,(a-a.s-s),14,1,0
es,(e-e.s-s),14,1,0
is,(i-i.s-s),14,1,0
us,(u-u.s-s),14,1,0
so,(s-s.o-u),14,1,0
os,(o-O.s-s),14,1,0
ra,(r-h.a-a),16,1,0
re,(r-r.e-i),26,1,0
ro,(r-r.o-u),26,1,0
ru,(r-r.u-u),26,1,0
ri,(r-h.i-i),16,1,0
va,(v-v.a-a),17,1,0
vé,(v-v.é-E),17,1,0
vi,(v-v.i-i),17,1,0
vo,(v-v.o-u),17,1,0
vu,(v-v.u-u),17,1,0
ev,(e-e.v-v),17,1,0
av,(a-a.v-v),17,1,0
ov,(o-u.v-v),17,1,0
iv,(i-i.v-v),17,1,0
uv,(u-u.v-v),17,1,0
ta,(t-t.a-a),18,1,0
te,(t-t.e-e),18,1,0
to,(t-t.o-u),18,1,0
tu,(t-t.u-u),18,1,0
ti,(t-tC.i-i),34,1,0
it,(i-i.t-t),18,1,0
at,(a-a.t-t),18,1,0
ot,(o-u.t-t),18,1,0
ut,(u-u.t-t),18,1,0
ét,(é-E.t-t),18,1,0
pa,(p-p.a-a),19,1,0
pe,(p-p.e-i),19,1,0
pi,(p-p.i-i),19,1,0
po,(p-p.o-O),19,1,0
pu,(p-p.u-u),19,1,0
op,(o-u.p-p),19,1,0
up,(u-u.p-p),19,1,0
ep,(e-e.p-p),19,1,0
ap,(a-a.p-p),19,1,0
ip,(i-i.p-p),19,1,0
ga,(g-g.a-a),20,1,0
gá,(g-g.á-a),20,1,0
go,(g-g.o-u),20,1,0
gu,(gu-g),58,1,0
ag,(a-a.g-g),20,1,0
eg,(e-e.g-g),20,1,0
ig,(i-i.g-g),20,1,0
ug,(u-u.g-g),20,1,0
og,(o-u.g-g),20,1,0
ba,(b-b.a-a),21,1,0
be,(b-b.e-i),21,1,0
bi,(b-b.i-i),21,1,0
bo,(b-b.o-u),21,1,0
bu,(b-b.u-u),21,1,0
ob,(o-u.b-b),21,1,0
ab,(a-a.b-b),21,1,0
bá,(b-b.á-a),21,1,0
que,(qu-k.e-i),23,1,0
qui,(qu-k.i-i),23,1,0
za,(z-z.a-a),24,1,0
ze,(z-z.e-i),24,1,0
zi,(z-z.i-i),24,1,0
zá,(z-z.á-a),24,1,0
zu,(z-z.u-u),24,1,0
az,(a-a.z-z),24,1,0
ez,(e-e.z-z),24,1,0
uz,(u-u.z-z),24,1,0
oz,(o-u.z-z),24,1,0
ja,(j-Z.a-a),25,1,0
jo,(j-Z.o-u),25,1,0
ju,(j-Z.u-u),25,1,0
ji,(j-Z.i-i),25,1,0
je,(j-Z.e-i),25,1,0
ver,(v-v.e-e.r-r),26,1,0
cro,(c-k.r-r.o-u),26,1,0
fri,(f-f.r-r.i-i),26,1,0
tro,(t-t.r-r.o-u),26,1,0
gri,(g-g.r-r.i-i),26,1,0
pra,(p-p.r-r.a-a),26,1,0
flo,(f-f.l-l.o-u),11,1,0
pla,(p-p.l-l.a-a),19,1,0
cla,(c-k.l-l.a-a),10,1,0
blo,(b-b.l-l.o-u),21,1,0
meu,(m-m.eu-ew),27,1,0
seu,(s-s.eu-ew),27,1,0
deu,(d-d.eu-ew),27,1,0
vou,(v-v.ou-o),29,1,0
tou,(t-t.ou-o),29,1,0
gou,(g-g.ou-o),29,1,0
dou,(d-d.ou-o),29,1,0
sou,(s-s.ou-o),29,1,0
ai,(ai-aj),30,1,0
pai,(p-p.ai-aj),30,1,0
sai,(s-s.ai-aj),30,1,0
gai,(g-g.ai-aj),30,1,0
ei,(ei-ej),31,1,0
rei,(r-h.ei-ej),31,1,0
tei,(t-t.ei-ej),31,1,0
lei,(l-l.ei-ej),31,1,0
bei,(b-b.ei-ej),31,1,0
nha,(nh-N.a-a),32,1,0
nhe,(nh-N.e-i),32,1,0
nhi,(nh-N.i-i),32,1,0
nho,(nh-N.o-u),32,1,0
nhu,(nh-N.u-u),32,1,0
di,(d-d.i-i),8,1,0
am,(am-ãw),35,1,0
em,(em-ē),36,1,0
vem,(v-v.em-ē),36,1,0
bém,(b-b.ém-ē),36,1,0
bom,(b-b.om-õ),37,1,0
om,(om-õ),37,1,0
som,(s-s.om-õ),37,1,0
im,(im-ī),38,1,0
ce,(c-s.e-i),39,1,0
ci,(c-s.i-i),39,1,0
ge,(g-Z.e-i),40,1,0
gi,(g-Z.i-i),40,1,0
lha,(lh-Y.a-a),41,1,0
lhe,(lh-Y.e-E),41,1,0
lhi,(lh-Y.i-i),41,1,0
lho,(lh-Y.o-u),41,1,0
lhu,(lh-Y.u-u),41,1,0
an,(an-ã),42,1,0
pan,(p-p.an-ã),42,1,0
tan,(t-t.an-ã),42,1,0
fun,(f-f.un-ū),43,1,0
un,(un-ū),43,1,0
on,(on-õ),44,1,0
ton,(t-t.on-õ),44,1,0
in,(in-ī),45,1,0
pin,(p-p.in-ī),45,1,0
pau,(p-p.au-aw),46,1,0
au,(au-aw),46,1,0
cau,(c-k.au-aw),46,1,0
nau,(n-n.au-aw),46,1,0
tau,(t-t.au-aw),46,1,0
mãe,(m-m.ãe-ãj),47,1,0
pãe,(p-p.ãe-ãj),47,1,0
ça,(ç-s.a-a),48,1,0
ço,(ç-s.o-u),48,1,0
ção,(ç-s.ão-ãw),48,1,0
çou,(ç-s.ou-o),48,1,0
pre,(p-p.r-r.e-e),26,1,0
